MarketingSegments,MarketingSegments2,MarketingSegments3,CalendarDateColumn,Leads,Temp
A,a,x,2018-03-08,251.807809714228,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-09,358.68887109682,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-10,169.689481332898,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-11,114.50005127117,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-12,434.200146887451,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-13,403.654570598155,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-14,274.10026434809,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-15,237.36197669059,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-16,475.995445623994,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-17,352.627103310078,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-18,441.724731307477,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-19,359.056427050382,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-20,373.870452586561,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-21,166.215355321765,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-22,376.540057640523,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-23,488.156322203577,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-24,268.692702613771,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-25,367.948788683862,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-26,446.108427643776,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-27,200.340839568526,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-28,455.204862356186,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-29,132.477904018015,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-30,342.645666189492,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-31,492.740823794156,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-01,416.230203676969,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-02,495.618389174342,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-03,494.552990794182,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-04,117.07426039502,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-05,292.629551235586,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-06,378.611240815371,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-07,499.512461852282,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-08,145.60370137915,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-09,248.419321700931,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-10,127.54139713943,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-11,325.41003357619,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-12,401.420583762229,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-13,388.307390827686,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-14,232.105123996735,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-15,118.454755842686,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-16,180.297521129251,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-17,187.318882159889,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-18,215.859566722065,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-19,134.131647925824,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-20,344.649529550225,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-21,165.807207487524,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-22,357.686013076454,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-23,346.580680273473,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-24,314.552765991539,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-25,385.311673860997,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-26,422.424098942429,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-27,412.121406383812,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-28,340.657878946513,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-29,337.854439485818,2021-12-22T04:41:27.012024Z
A,a,x,2018-04-30,350.433176010847,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-01,437.279225513339,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-02,144.616194628179,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-03,422.302014008164,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-04,495.215820707381,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-05,307.491759303957,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-06,106.892990972847,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-07,106.723663769662,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-08,226.79425412789,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-09,259.519539214671,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-10,133.893170766532,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-11,485.483956057578,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-12,102.385591249913,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-13,401.846211310476,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-14,389.993425738066,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-15,240.951372962445,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-16,200.954982452095,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-17,384.030548576266,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-18,251.830534171313,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-19,446.451475750655,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-20,306.134288944304,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-21,482.277518510819,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-22,375.792730692774,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-23,171.338366158307,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-24,136.864000372589,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-25,476.341637875885,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-26,314.241146016866,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-27,170.378144551069,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-28,409.631765633822,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-29,327.954697981477,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-30,193.02736017853,2021-12-22T04:41:27.012024Z
A,a,x,2018-05-31,131.371248699725,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-01,347.732845786959,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-02,168.07454675436,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-03,494.376932363957,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-04,115.620881598443,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-05,374.828482139856,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-06,106.996891368181,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-07,456.17839442566,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-08,431.469918880612,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-09,300.000057369471,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-10,171.902027633041,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-11,113.945740740746,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-12,395.331542007625,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-13,107.098911330104,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-14,209.773384500295,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-15,235.371549893171,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-16,276.517767831683,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-17,173.384134937078,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-18,181.833717692643,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-19,465.352003555745,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-20,347.373824380338,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-21,334.473771229386,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-22,254.932407755405,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-23,438.469525612891,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-24,451.748821698129,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-25,425.540797412396,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-26,165.820323769003,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-27,143.614542949945,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-28,375.789135601372,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-29,221.144363563508,2021-12-22T04:41:27.012024Z
A,a,x,2018-06-30,265.740354731679,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-01,263.978117145598,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-02,255.269376840442,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-03,172.966459486634,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-04,119.901998061687,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-05,121.450555790216,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-06,482.46268350631,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-07,129.563277959824,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-08,185.631971433759,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-09,389.052065368742,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-10,490.63544459641,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-11,144.157325010747,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-12,138.148542586714,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-13,345.044305361807,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-14,287.462745420635,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-15,186.927798297256,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-16,445.133808162063,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-17,296.545219514519,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-18,458.697658963502,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-19,447.366379480809,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-20,392.407577205449,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-21,138.720933813602,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-22,494.668287876993,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-23,291.542537417263,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-24,195.923155453056,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-25,339.51221825555,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-26,226.732856500894,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-27,100.439839810133,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-28,230.969073344022,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-29,353.587827924639,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-30,257.258234266192,2021-12-22T04:41:27.012024Z
A,a,x,2018-07-31,297.64991318807,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-01,290.93028800562,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-02,183.170305844396,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-03,286.709038447589,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-04,280.221578944474,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-05,170.929379854351,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-06,401.496926508844,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-07,112.301995977759,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-08,348.269814159721,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-09,479.000243637711,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-10,127.27594524622,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-11,221.595963463187,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-12,443.267534673214,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-13,353.85664049536,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-14,492.669298965484,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-15,235.416668839753,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-16,434.9704336375,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-17,249.952373839915,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-18,175.481383223087,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-19,100.667336396873,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-20,100.126060470939,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-21,238.957696780562,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-22,236.622212640941,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-23,382.775342091918,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-24,212.127178069204,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-25,181.322617456317,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-26,222.947614639997,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-27,285.263242665678,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-28,422.483790293336,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-29,442.097621969879,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-30,443.936382234097,2021-12-22T04:41:27.012024Z
A,a,x,2018-08-31,238.220725953579,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-01,471.959888190031,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-02,264.39471738413,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-03,199.954895302653,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-04,465.934697724879,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-05,197.538720071316,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-06,462.634661514312,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-07,206.445838604122,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-08,179.528358392417,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-09,212.511927355081,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-10,454.92633022368,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-11,139.030520711094,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-12,255.654802918434,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-13,221.018872782588,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-14,321.002991776913,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-15,374.507658556104,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-16,407.602096814662,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-17,256.773961056024,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-18,108.440919965506,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-19,155.124929361045,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-20,498.789551947266,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-21,443.433561362326,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-22,388.181006442755,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-23,228.695648815483,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-24,415.957058686763,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-25,171.085686516017,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-26,127.19756141305,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-27,114.670385699719,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-28,236.038861330599,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-29,479.414761904627,2021-12-22T04:41:27.012024Z
A,a,x,2018-09-30,393.408188037574,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-01,391.040100157261,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-02,184.529974218458,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-03,301.074183546007,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-04,256.305152084678,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-05,446.544794458896,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-06,129.497364163399,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-07,178.74512989074,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-08,372.184316534549,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-09,426.657984778285,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-10,435.220939293504,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-11,466.765222232789,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-12,241.402576584369,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-13,384.054075088352,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-14,195.416092406958,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-15,143.265380896628,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-16,444.065252412111,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-17,423.160634376109,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-18,344.896531291306,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-19,271.810753736645,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-20,265.345272235572,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-21,353.278494440019,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-22,303.743088897318,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-23,430.312389042228,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-24,306.476388406009,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-25,406.582252960652,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-26,126.372186746448,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-27,394.518801942468,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-28,130.637988541275,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-29,173.032598104328,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-30,304.549598507583,2021-12-22T04:41:27.012024Z
A,a,x,2018-10-31,205.336206499487,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-01,455.064505990595,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-02,259.233967214823,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-03,438.616493158042,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-04,380.164352990687,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-05,372.300994116813,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-06,155.079118907452,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-07,296.558097191155,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-08,155.576557293534,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-09,380.75772607699,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-10,276.397435087711,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-11,368.082009255886,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-12,411.677946243435,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-13,199.807418882847,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-14,460.576955322176,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-15,275.60079973191,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-16,377.220167312771,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-17,325.56303748861,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-18,350.198490172625,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-19,111.258822865784,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-20,357.368138246238,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-21,428.307117242366,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-22,147.648113686591,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-23,194.632273167372,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-24,257.80145060271,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-25,165.514865983278,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-26,116.840704437345,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-27,398.908050265163,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-28,242.491608764976,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-29,116.36120909825,2021-12-22T04:41:27.012024Z
A,a,x,2018-11-30,340.126409009099,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-01,280.405211355537,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-02,430.349899921566,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-03,419.286429509521,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-04,484.825726877898,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-05,413.417877443135,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-06,421.844304166734,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-07,339.174444135278,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-08,430.539820156992,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-09,348.921327944845,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-10,464.12340188399,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-11,215.820290707052,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-12,464.76478362456,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-13,429.577537812293,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-14,311.967297643423,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-15,303.855396714062,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-16,406.12657116726,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-17,413.585087098181,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-18,452.991852257401,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-19,339.042084570974,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-20,456.485859304667,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-21,157.864946313202,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-22,363.605672027916,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-23,400.354398414493,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-24,130.045718699694,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-25,191.462002880871,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-26,169.322409573942,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-27,383.765044808388,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-28,381.324411556125,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-29,234.67984739691,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-30,190.070060361177,2021-12-22T04:41:27.012024Z
A,a,x,2018-12-31,114.096340164542,2021-12-22T04:41:27.012024Z
A,a,x,2019-01-01,116.087937820703,2021-12-22T04:41:27.012024Z
